1332,2012-07-06,973300,2599300,-8700,380700,2.67
1332,2012-06-29,982000,2218600,255900,-63700,2.26
1332,2012-06-22,726100,2282300,-24500,-302700,3.14
1332,2012-06-15,750600,2585000,-91200,555000,3.44
1332,2012-06-08,841800,2030000,-183900,444300,2.41
1332,2012-06-01,1025700,1585700,13300,-17000,1.55
1332,2012-05-25,1012400,1602700,30300,-137400,1.58
1332,2012-05-18,982100,1740100,-220000,706800,1.77
1332,2012-05-11,1202100,1033300,185600,102800,0.86
1332,2012-04-27,1016500,930500,45200,63300,0.92
1332,2012-04-20,971300,867200,300,5300,0.89
1332,2012-04-13,971000,861900,-68700,4700,0.89
1332,2012-04-06,1039700,857200,-28200,180800,0.82
1332,2012-03-30,1067900,676400,178400,-63500,0.63
1332,2012-03-23,889500,739900,12600,26600,0.83
1332,2012-03-16,876900,713300,-79800,17300,0.81
1332,2012-03-09,956700,696000,115400,-195200,0.73
1332,2012-03-02,841300,891200,17000,-353100,1.06
1332,2012-02-24,824300,1244300,56100,428000,1.51
1332,2012-02-17,768200,816300,16300,-29300,1.06
1332,2012-02-10,751900,845600,-57100,72300,1.12
1332,2012-02-03,809000,773300,48300,-39000,0.96
1332,2012-01-27,760700,812300,-567700,-38700,1.07
1332,2012-01-20,1328400,851000,-49000,122600,0.64
1332,2012-01-13,1377400,728400,-11500,-21700,0.53
1332,2012-01-06,1388900,750100,75000,-82700,0.54
1332,2011-12-30,1313900,832800,6600,-158900,0.63
1332,2011-12-22,1307300,991700,-49600,-35000,0.76
1332,2011-12-16,1356900,1026700,109200,61000,0.76
1332,2011-12-09,1247700,965700,38300,246800,0.77
1332,2011-12-02,1209400,718900,170200,-38400,0.59
1332,2011-11-25,1039200,757300,279100,289100,0.73
1332,2011-11-18,760100,468200,-114900,-179500,0.62
1332,2011-11-11,875000,647700,-171100,-120900,0.74
1332,2011-11-04,1046100,768600,120800,39000,0.73
1332,2011-10-28,925300,729600,71400,65500,0.79
1332,2011-10-21,853900,664100,27100,52800,0.78
1332,2011-10-14,826800,611300,-97500,15300,0.74
1332,2011-10-07,924300,596000,-99500,184700,0.64
1332,2011-09-30,1023800,411300,44400,-30200,0.4
1332,2011-09-22,979400,441500,-62000,-67200,0.45
1332,2011-09-16,1041400,508700,-113900,-11100,0.49
1332,2011-09-09,1155300,519800,-2100,35500,0.45
1332,2011-09-02,1157400,484300,108100,-106100,0.42
1332,2011-08-26,1049300,590400,-29100,-130900,0.56
1332,2011-08-19,1078400,721300,-7500,-116300,0.67
1332,2011-08-12,1085900,837600,302500,25600,0.77
1332,2011-08-05,783400,812000,-219500,-137300,1.04
1332,2011-07-29,1002900,949300,-328200,-406700,0.95
1332,2011-07-22,1331100,1356000,-310000,299500,1.02
1332,2011-07-15,1641100,1056500,-60500,-166800,0.64
1332,2011-07-08,1701600,1223300,24600,-336500,0.72
1332,2011-07-01,1677000,1559800,-272400,144000,0.93
1332,2011-06-24,1949400,1415800,-540500,-145400,0.73
1332,2011-06-17,2489900,1561200,208300,329700,0.63
1332,2011-06-10,2281600,1231500,454100,-169700,0.54
1332,2011-06-03,1827500,1401200,-38300,-323800,0.77
1332,2011-05-27,1865800,1725000,96600,-87800,0.92
1332,2011-05-20,1769200,1812800,470400,-24200,1.02
1332,2011-05-13,1298800,1837000,58100,-804600,1.41
1332,2011-04-28,1240700,2641600,201600,-144400,2.13
1332,2011-04-22,1039100,2786000,-1266800,508000,2.68
1332,2011-04-15,2305900,2278000,-177300,3400,0.99
1332,2011-04-08,2483200,2274600,779600,142400,0.92
1332,2011-04-01,1703600,2132200,890000,553200,1.25
1332,2011-03-25,813600,1579000,-20000,-50600,1.94
1332,2011-03-18,833600,1629600,69500,190400,1.95
1332,2011-03-11,764100,1439200,-201400,-185700,1.88
1332,2011-03-04,965500,1624900,322500,24400,1.68
1332,2011-02-25,643000,1600500,-59700,-156300,2.49
1332,2011-02-18,702700,1756800,-283100,-195300,2.5
1332,2011-02-10,985800,1952100,13800,-209200,1.98
1332,2011-02-04,972000,2161300,82500,-373600,2.22
1332,2011-01-28,889500,2534900,-195900,-9800,2.85
1332,2011-01-21,1085400,2544700,134400,-119100,2.34
1332,2011-01-14,951000,2663800,162900,-271600,2.8
1332,2011-01-07,788100,2935400,54800,524100,3.72
1332,2010-12-30,733300,2411300,-56100,115500,3.29
1332,2010-12-24,789400,2295800,4000,58600,2.91
1332,2010-12-17,785400,2237200,-6000,-302600,2.85
1332,2010-12-10,791400,2539800,60200,-25100,3.21
1332,2010-12-03,731200,2564900,135500,370600,3.51
1332,2010-11-26,595700,2194300,-91700,225300,3.68
1332,2010-11-19,687400,1969000,-669300,-383900,2.86
1332,2010-11-12,1356700,2352900,300300,948700,1.73
1332,2010-11-05,1056400,1404200,130200,65400,1.33
1332,2010-10-29,926200,1338800,15600,123300,1.45
1332,2010-10-22,910600,1215500,-120700,190200,1.33
1332,2010-10-15,1031300,1025300,-69400,74100,0.99
1332,2010-10-08,1100700,951200,-53500,-35100,0.86
1332,2010-10-01,1154200,986300,-20300,-34200,0.85
1332,2010-09-24,1174500,1020500,39900,-98100,0.87
1332,2010-09-17,1134600,1118600,-319500,-498400,0.99
1332,2010-09-10,1454100,1617000,-566200,-20300,1.11
1332,2010-09-03,2020300,1637300,35700,-317100,0.81
1332,2010-08-27,1984600,1954400,66400,776800,0.98
1332,2010-08-20,1918200,1177600,-119800,81700,0.61
1332,2010-08-13,2038000,1095900,9900,153300,0.54
1332,2010-08-06,2028100,942600,-136400,20600,0.46
1332,2010-07-30,2164500,922000,35300,9200,0.43
1332,2010-07-23,2129200,912800,-415600,68100,0.43
1332,2010-07-16,2544800,844700,61400,135000,0.33
1332,2010-07-09,2483400,709700,-156100,-101400,0.29
1332,2010-07-02,2639500,811100,-111700,-48300,0.31
1332,2010-06-25,2751200,859400,-121000,-27400,0.31
1332,2010-06-18,2872200,886800,220900,-482200,0.31
1332,2010-06-11,2651300,1369000,519300,46900,0.52
1332,2010-06-04,2132000,1322100,-74300,-33300,0.62
1332,2010-05-28,2206300,1355400,194100,206100,0.61
1332,2010-05-21,2012200,1149300,-380100,119600,0.57
1332,2010-05-14,2392300,1029700,-328200,169200,0.43
1332,2010-04-30,2720500,860500,5100,-191400,0.32
1332,2010-04-23,2715400,1051900,-276900,-62300,0.39
1332,2010-04-16,2992300,1114200,-86600,-131900,0.37
1332,2010-04-09,3078900,1246100,-66200,64400,0.4
1332,2010-04-02,3145100,1181700,143800,39100,0.38
1332,2010-03-26,3001300,1142600,30500,103400,0.38
1332,2010-03-19,2970800,1039200,487600,-92500,0.35
1332,2010-03-12,2483200,1131700,-63900,19500,0.46
1332,2010-03-05,2547100,1112200,322500,30100,0.44
1332,2010-02-26,2224600,1082100,87800,-54400,0.49
1332,2010-02-19,2136800,1136500,76800,15600,0.53
